Timestamp,Cryptocurrency,Price (USD),24h Change,Market Cap,MACD,Signal,Histogram,Last Updated
2024-11-16 22:36:50,Bitcoin,"$90,086.00",-1.30%,"1,781,989,947,794",5701.3621,4311.3892,1389.9729,2024-11-16 22:33:23
2024-11-16 22:36:50,Cardano,$0.72,-2.92%,"25,714,266,882",0.0903,0.0601,0.0302,2024-11-16 22:33:25
2024-11-16 22:36:50,Dogecoin,$0.35,-8.11%,"51,212,140,158",0.0595,0.0465,0.0130,2024-11-16 22:33:27
2024-11-16 22:36:50,Ethereum,"$3,067.89",-1.83%,"369,207,529,590",147.8955,127.4903,20.4052,2024-11-16 22:33:28
2024-11-16 22:36:50,Ripple,$1.06,+19.28%,"60,665,122,215",0.1119,0.0537,0.0583,2024-11-16 22:33:21
2024-11-16 22:36:50,Solana,$216.97,-1.56%,"102,303,957,586",13.8031,11.9419,1.8612,2024-11-16 22:33:22
2024-11-16 22:38:57,Bitcoin,"$90,086.00",-1.30%,"1,781,989,947,794",5701.3621,4311.3892,1389.9729,2024-11-16 22:33:23
2024-11-16 22:38:57,Cardano,$0.72,-2.92%,"25,714,266,882",0.0903,0.0601,0.0302,2024-11-16 22:33:25
2024-11-16 22:38:57,Dogecoin,$0.35,-8.11%,"51,212,140,158",0.0595,0.0465,0.0130,2024-11-16 22:33:27
2024-11-16 22:38:57,Ethereum,"$3,067.89",-1.83%,"369,207,529,590",147.8955,127.4903,20.4052,2024-11-16 22:33:28
2024-11-16 22:38:57,Ripple,$1.06,+19.28%,"60,665,122,215",0.1119,0.0537,0.0583,2024-11-16 22:33:21
2024-11-16 22:38:57,Solana,$216.97,-1.56%,"102,303,957,586",13.8031,11.9419,1.8612,2024-11-16 22:33:22
2024-11-16 22:41:07,Bitcoin,"$90,108.00",-1.29%,"1,782,255,871,068",5701.3621,4311.3892,1389.9729,2024-11-16 22:39:52
2024-11-16 22:41:07,Cardano,$0.72,-3.50%,"25,660,185,086",0.0903,0.0601,0.0302,2024-11-16 22:39:53
2024-11-16 22:41:07,Dogecoin,$0.35,-7.78%,"51,412,288,062",0.0595,0.0465,0.0130,2024-11-16 22:39:54
2024-11-16 22:41:07,Ethereum,"$3,072.60",-1.95%,"369,699,788,004",147.8955,127.4903,20.4052,2024-11-16 22:39:54
2024-11-16 22:41:07,Ripple,$1.06,+17.73%,"60,364,028,544",0.1119,0.0537,0.0583,2024-11-16 22:39:57
2024-11-16 22:41:07,Solana,$217.61,-1.35%,"102,529,440,713",13.8031,11.9419,1.8612,2024-11-16 22:39:58
2024-11-16 22:45:23,Bitcoin,"$90,108.00",-1.29%,"1,782,255,871,068",5701.3621,4311.3892,1389.9729,2024-11-16 22:39:52
2024-11-16 22:45:23,Cardano,$0.72,-3.50%,"25,660,185,086",0.0902,0.0601,0.0301,2024-11-16 22:39:53
2024-11-16 22:45:23,Dogecoin,$0.35,-7.78%,"51,412,288,062",0.0597,0.0465,0.0132,2024-11-16 22:39:54
2024-11-16 22:45:23,Ethereum,"$3,072.60",-1.95%,"369,699,788,004",147.8955,127.4903,20.4052,2024-11-16 22:39:54
2024-11-16 22:45:23,Ripple,$1.06,+17.73%,"60,364,028,544",0.1120,0.0537,0.0583,2024-11-16 22:39:57
2024-11-16 22:45:23,Solana,$217.61,-1.35%,"102,529,440,713",13.8031,11.9419,1.8612,2024-11-16 22:39:58
2024-11-16 22:48:36,Bitcoin,"$90,146.00",-1.21%,"1,783,630,838,556",5701.3621,4311.3892,1389.9729,2024-11-16 22:46:23
2024-11-16 22:48:36,Cardano,$0.72,-3.99%,"25,629,057,934",0.0902,0.0601,0.0301,2024-11-16 22:46:24
2024-11-16 22:48:36,Dogecoin,$0.35,-7.49%,"51,476,346,436",0.0597,0.0465,0.0132,2024-11-16 22:46:24
2024-11-16 22:48:36,Ethereum,"$3,075.17",-1.89%,"370,313,849,977",147.8955,127.4903,20.4052,2024-11-16 22:46:13
2024-11-16 22:48:36,Ripple,$1.06,+16.10%,"60,270,410,151",0.1120,0.0537,0.0583,2024-11-16 22:46:22
2024-11-16 22:48:36,Solana,$218.13,-0.99%,"102,857,825,279",13.9989,11.9811,2.0178,2024-11-16 22:46:21
2024-11-16 22:50:44,Bitcoin,"$90,146.00",-1.21%,"1,783,630,838,556",5701.3621,4311.3892,1389.9729,2024-11-16 22:46:23
2024-11-16 22:50:44,Cardano,$0.72,-3.99%,"25,629,057,934",0.0902,0.0601,0.0301,2024-11-16 22:46:24
2024-11-16 22:50:44,Dogecoin,$0.35,-7.49%,"51,476,346,436",0.0597,0.0465,0.0132,2024-11-16 22:46:24
2024-11-16 22:50:44,Ethereum,"$3,075.17",-1.89%,"370,313,849,977",147.8955,127.4903,20.4052,2024-11-16 22:46:13
2024-11-16 22:50:44,Ripple,$1.06,+16.10%,"60,270,410,151",0.1120,0.0537,0.0583,2024-11-16 22:46:22
2024-11-16 22:50:44,Solana,$218.13,-0.99%,"102,857,825,279",13.9989,11.9811,2.0178,2024-11-16 22:46:21
